distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
LowLight,0.25,5,pole,0.2892972383743732,0.3949815386149999,3268173,2484777
LowLight,0.25,6,traffic light,0.3383595568382832,0.3723047672122012,488084,230682
LowLight,0.25,7,traffic sign,0.4940828339235207,0.5590470050956291,1656714,1144013
LowLight,0.25,8,vegetation,0.8589565441151265,0.9381094236900983,37874102,39020152
LowLight,0.25,9,terrain,0.4993473386702776,0.6000383119096515,1774905,1422912
LowLight,0.25,10,sky,0.9107089126685747,0.9362350985248763,7910794,7628094
LowLight,0.25,11,person,0.5487754156804086,0.6998148669467985,3186357,3106841
LowLight,0.25,12,rider,0.23739962256255243,0.3088208868453042,378420,230711
LowLight,0.25,13,car,0.8679471829440524,0.932483965294832,13170027,13260105
LowLight,0.25,14,truck,0.7760499533065855,0.8285039735336236,866609,776564
LowLight,0.25,15,bus,0.55609528766659,0.7189557928737762,638992,646545
LowLight,0.25,16,train,0.21729912958547584,0.5959693049493405,63463,148414
LowLight,0.25,17,motorcycle,0.29774519595370214,0.36080589759556475,199132,114023
LowLight,0.25,18,bicycle,0.5128837367464288,0.6800147800117291,1474965,1483638
LowLight,0.1,0,road,0.9421369683591111,0.9698413295831746,83055684,82993160
LowLight,0.1,1,sidewalk,0.6389901459001915,0.744238719632692,13341609,12126849
LowLight,0.1,2,building,0.839258274038127,0.9425478683727115,54242339,57801740
LowLight,0.1,3,wall,0.3758429655892526,0.4993936534938186,1259181,1042757
LowLight,0.1,4,fence,0.31715086754982386,0.4991183758562357,2904866,3116559
LowLight,0.1,5,pole,0.25165542344178626,0.3421171400657187,3268173,2292897
LowLight,0.1,6,traffic light,0.2289074314314007,0.24438416338171298,488084,152280
LowLight,0.1,7,traffic sign,0.4167853104302407,0.4671971142876803,1656714,974398
LowLight,0.1,8,vegetation,0.8321499986757106,0.9191494494047674,37874102,38771614
LowLight,0.1,9,terrain,0.37698197511130527,0.4414202450271986,1774905,1086867
LowLight,0.1,10,sky,0.8985923155204262,0.9182974553502468,7910794,7437937
LowLight,0.1,11,person,0.48690000954351725,0.6564788565750793,3186357,3201529
LowLight,0.1,12,rider,0.21269340487030775,0.29751334496062576,378420,263495
LowLight,0.1,13,car,0.8415165030292184,0.9194060118479636,13170027,13327600
LowLight,0.1,14,truck,0.749700305864309,0.7851545506681791,866609,721405
LowLight,0.1,15,bus,0.4696307249853,0.6312129103337757,638992,623193
LowLight,0.1,16,train,0.11270003705206698,0.6038951830200274,63463,314924
LowLight,0.1,17,motorcycle,0.15844228876704625,0.1867655625414298,199132,72788
LowLight,0.1,18,bicycle,0.4805856366252053,0.639821283894872,1474965,1432424
MotionBlur,3.0,0,road,0.9609633902434777,0.9792423357804145,83055684,82911484
MotionBlur,3.0,1,sidewalk,0.7305021830512881,0.8086198598684762,13341609,12215001
MotionBlur,3.0,2,building,0.866972753597772,0.9478481375959839,54242339,56473486
MotionBlur,3.0,3,wall,0.3589205334607745,0.4771545949311497,1259181,1015618
MotionBlur,3.0,4,fence,0.38588754287106247,0.5758812971063036,2904866,3103084
MotionBlur,3.0,5,pole,0.3013805985300686,0.40878435749882275,3268173,2500665
MotionBlur,3.0,6,traffic light,0.3997679157287667,0.4453762057350784,488084,273065
