distortion,level,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
MotionBlur,5.0,motorcycle,0.045211411407061405,0.11131541725601132,0.041666666666666664,0.16216216216216217,0.6617844614731845,37.0,144.0
MotionBlur,5.0,bus,0.31289680024340466,0.3819996436263345,0.024444444444444446,0.5238095238095238,0.8374912663575317,21.0,450.0
MotionBlur,5.0,train,0.05891089108910891,0.16831683168316833,0.013157894736842105,0.3333333333333333,0.5673079248758655,3.0,76.0
MotionBlur,5.0,truck,0.1710871679061948,0.21707395936928156,0.021116138763197588,0.6086956521739131,0.7647133390940285,23.0,663.0
MotionBlur,9.0,person,0.1691409629783589,0.3141522074422349,0.06577761758875474,0.5104895104895105,0.7210173248154249,715.0,5549.0
MotionBlur,9.0,bicycle,0.07457196412321931,0.14684375734817373,0.07384341637010676,0.29856115107913667,0.6953727891338506,278.0,1124.0
MotionBlur,9.0,car,0.30975573016029984,0.5005262610597458,0.08036830737751506,0.6218117854001759,0.7643432701511224,1137.0,8797.0
MotionBlur,9.0,motorcycle,0.03448968720842452,0.10935093509350935,0.031088082901554404,0.16216216216216217,0.6499461859585131,37.0,193.0
MotionBlur,9.0,bus,0.293645546514568,0.38410685311244935,0.028846153846153848,0.5714285714285714,0.8317173399074483,21.0,416.0
MotionBlur,9.0,train,0.02524752475247525,0.08415841584158416,0.00980392156862745,0.3333333333333333,0.6017380956742244,3.0,102.0
MotionBlur,9.0,truck,0.15812725235428932,0.19939391354004624,0.020061728395061727,0.5652173913043478,0.7870781836478893,23.0,648.0
MotionBlur,15.0,person,0.137435045755463,0.2517339747708192,0.056962025316455694,0.427972027972028,0.7212457757566373,715.0,5372.0
MotionBlur,15.0,bicycle,0.0601765602837032,0.1161761403640395,0.06313834726090993,0.2446043165467626,0.6926689763157564,278.0,1077.0
MotionBlur,15.0,car,0.2683249333263758,0.4457375293898581,0.07142081840877021,0.5787159190853123,0.7524949607767005,1137.0,9213.0
MotionBlur,15.0,motorcycle,0.042261922747612674,0.11839190281700493,0.027190332326283987,0.24324324324324326,0.6806947360548041,37.0,331.0
MotionBlur,15.0,bus,0.2500763339594523,0.3187387077518025,0.024336283185840708,0.5238095238095238,0.8190511208544223,21.0,452.0
MotionBlur,15.0,train,0.01749174917491749,0.16831683168316833,0.007194244604316547,0.3333333333333333,0.5445506254873095,3.0,139.0
MotionBlur,15.0,truck,0.1283435270275567,0.18658072722065405,0.02594810379241517,0.5652173913043478,0.7343488771635214,23.0,501.0
MotionBlur,25.0,person,0.08895309452503734,0.18102358845005206,0.04258195336262251,0.35244755244755244,0.6967161058568324,715.0,5918.0
MotionBlur,25.0,bicycle,0.03531207691458958,0.0769226300100688,0.05535924617196702,0.16906474820143885,0.6693704074329637,278.0,849.0
MotionBlur,25.0,car,0.21091127503202073,0.3668028729353878,0.07107155918566378,0.5127528583992964,0.7334018782474151,1137.0,8203.0
MotionBlur,25.0,motorcycle,0.038056577884743925,0.1047417337473596,0.011936339522546418,0.24324324324324326,0.6646387258934146,37.0,754.0
MotionBlur,25.0,bus,0.19361623624032437,0.2521110442975262,0.0223463687150838,0.5714285714285714,0.8214319049684636,21.0,537.0
MotionBlur,25.0,train,0.008415841584158416,0.08415841584158416,0.0031746031746031746,0.3333333333333333,0.508074041323675,3.0,315.0
MotionBlur,25.0,truck,0.033762967784621956,0.06571354638752933,0.027559055118110236,0.30434782608695654,0.7787107933047528,23.0,254.0
