sample_id,distortion,level_index,level,distorted_snr_db,restored_snr_db,orb_distorted,orb_restored,canny_distorted,canny_restored,seg_distorted_image_miou,seg_restored_image_miou,detections_distorted,detections_restored
lindau_000031_000019,GaussNoise,0,5.0,23.60364864484156,20.884308013429752,0.92875,0.3575,0.9775622524139033,0.5679743440907415,0.44023944203433396,0.33679966004953493,161,142
munster_000007_000019,GaussNoise,0,5.0,24.609319072187535,21.996799016699295,0.92375,0.4025,0.9843215146008537,0.6747290104059561,0.5180848346616157,0.3859509492952144,152,145
munster_000094_000019,GaussNoise,0,5.0,23.492003802132363,18.795801430513585,0.9325,0.3825,0.982494104836849,0.6014919136429183,0.43289813681414485,0.43023965615065146,249,238
munster_000139_000019,GaussNoise,0,5.0,25.526672268127292,20.413444520435032,0.91625,0.36625,0.9791607626714856,0.6214734067285391,0.5640928059656226,0.5301798287696907,272,283
munster_000159_000019,GaussNoise,0,5.0,26.441798114216702,25.658251339349853,0.90125,0.3925,0.9927993336768447,0.8150726038630236,0.512348825645213,0.4151619879861623,47,65
frankfurt_000000_009688,GaussNoise,1,10.0,19.37315004294461,22.96739185911459,0.845,0.3275,0.9247728274662259,0.3911438329201732,0.47863673281119806,0.4279651941957839,70,71
frankfurt_000000_011074,GaussNoise,1,10.0,20.506228786489093,22.599986457245357,0.875,0.39,0.9437267637730378,0.6025233190418702,0.452011826722636,0.35789736375466524,149,104
frankfurt_000000_012868,GaussNoise,1,10.0,20.961651448954818,20.62315740769146,0.86875,0.485,0.9657617407802725,0.6863649961037455,0.44245895988811046,0.34833511426173586,248,225
frankfurt_000000_016005,GaussNoise,1,10.0,19.705275266770034,21.623525793402905,0.85625,0.36875,0.9534226500221628,0.5863754853472763,0.3546013372646954,0.31730698344088076,125,117
frankfurt_000000_020321,GaussNoise,1,10.0,19.82598299815191,20.626376943834472,0.87125,0.365,0.952079117432218,0.5371389110955552,0.4847557824873262,0.45515172152269723,149,142
frankfurt_000000_022254,GaussNoise,1,10.0,18.280665513246678,21.32375157213607,0.835,0.34125,0.9267993634400638,0.45391616174501154,0.5001975345992349,0.5006201000893423,198,174
frankfurt_000001_010830,GaussNoise,1,10.0,19.3910599757296,19.405606522049574,0.88875,0.54,0.9644543079908784,0.6841993469500798,0.5066625448588188,0.41939972444674806,224,205
frankfurt_000001_021406,GaussNoise,1,10.0,19.136425052771287,20.603756088057796,0.86,0.35625,0.9581283023458714,0.4855782240635411,0.5804913577002625,0.3997894693344737,59,75
frankfurt_000001_046779,GaussNoise,1,10.0,19.848755133392075,20.243063231140926,0.86375,0.48375,0.955355747802317,0.6325720498708987,0.3611027178394795,0.32479786142869244,240,215
frankfurt_000001_054640,GaussNoise,1,10.0,21.139817166886022,21.056834821241775,0.81375,0.335,0.9640840254307411,0.6062038924111041,0.5184385568358294,0.4678909350266249,233,196
frankfurt_000001_058504,GaussNoise,1,10.0,19.60247507184212,21.076875621232404,0.87875,0.3875,0.959222995208114,0.6111191844476863,0.5556338944105859,0.53578373927993,185,179
frankfurt_000001_062250,GaussNoise,1,10.0,18.80163056039364,22.355097331271185,0.775,0.265,0.9123348805679261,0.5613781877143453,0.35963546845826133,0.33238776372607315,157,139
frankfurt_000001_064651,GaussNoise,1,10.0,20.79620229154413,21.449064773527088,0.8575,0.35625,0.9602313567311102,0.571634208306141,0.48254791628335225,0.39796419461897886,182,178
frankfurt_000001_080091,GaussNoise,1,10.0,20.520954857311054,20.692053283161794,0.86,0.38,0.9601231373719531,0.6018591928034721,0.4565545144460265,0.36827929155357514,257,250
lindau_000007_000019,GaussNoise,1,10.0,18.63817460951229,23.56477092807293,0.8625,0.43375,0.9501127265981204,0.5509935723042196,0.4657285598461262,0.395962828292888,127,146
lindau_000031_000019,GaussNoise,1,10.0,17.652006487077763,20.823003016826505,0.86875,0.34875,0.9647444355381861,0.5621721163485388,0.4846292866490353,0.36272726326129073,142,142
munster_000007_000019,GaussNoise,1,10.0,18.642542939667482,21.933228900752127,0.865,0.4,0.957842165340963,0.6715002384347899,0.5347093790305363,0.3670071338445377,156,155
